,name,lat,lng
301,홍콩반점0410,37.5612563,126.8124407
302,홍콩반점0410,37.5963518,127.0855162
303,홍콩반점0410,37.548983,126.9544295
304,빽다방,37.4683168,126.9201938
305,역전우동0410,37.4887718,126.9578871
306,빽다방,37.5228012,126.9230723
307,홍콩반점0410,37.5226024,126.8517014
308,홍콩반점0410,37.548384299999995,126.86737833425033
309,역전우동0410,37.4989724,126.9299617
310,새마을식당,37.5631274,126.8273842
311,빽다방,37.561070099999995,126.8386387311638
312,미정국수0410,37.5231675,126.9296529
313,홍콩반점0410,37.5631274,126.8273842
314,역전우동0410,37.4983646,127.0546317
315,한신포차,37.5926857,127.0164689
316,빽다방,37.5707893,126.8267494
317,빽다방,37.657907,127.0625068
318,홍콩반점0410,37.5538883,126.8377001
319,빽다방,37.5963518,127.0855162
320,역전우동0410,37.4821235,127.1238883
321,빽다방,37.5507793,127.0076435
322,역전우동0410,37.4964603,127.0333328
323,새마을식당,37.4930373,127.0168302
324,홍콩반점0410,37.537396,126.968035
325,빽다방,37.6388394,126.9294619
326,빽다방,37.5797042,127.0435033
327,홍콩반점0410,37.4848099,126.9272012
328,빽다방,37.4919452,127.15442
329,돌배기집,37.5529815,126.8515087
330,홍콩반점0410,37.6542439,127.0603337
331,빽다방,37.5339047,126.9922606
332,홍콩반점0410,37.4900948,126.8877232
333,빽다방,37.4900948,126.8877232
334,역전우동0410,37.5503005,126.83526902609921
335,빽다방,37.5587794,126.8383128
336,빽다방,37.4819986,126.8454005
337,백철판0410,37.5053216,126.94751875332501
338,홍콩반점0410,37.5710156,127.005044
339,빽다방,37.5160858,126.8653486
340,역전우동0410,37.5567763,126.8528184
341,역전우동0410,37.6335072,127.064282
342,빽다방,37.5340859,126.9019328
343,빽다방,37.5504353,126.8659084
344,빽다방,37.534826,126.9000655
345,빽다방,37.4860543,127.1194402
346,빽다방,37.4831573,126.8997762
347,역전우동0410,37.4831573,126.8997762
348,홍콩반점0410,37.4550952,126.901839
349,홍콩반점0410,37.5396332,127.084892
350,홍콩반점0410,37.4839379,126.9021807
351,홍콩반점0410,37.4930373,127.0168302
352,홍콩반점0410,37.4887718,126.9578871
353,홍콩반점0410,37.5849995,127.0307318
354,홍콩반점0410,37.5926082,127.0525222
355,홍콩반점0410,37.5473613,127.1063934
356,홍콩반점0410,37.4968648,127.0302159
357,홍콩반점0410,37.5676735,127.0084005
358,홍콩반점0410,37.4647844,126.8977088
359,홍콩반점0410,37.5823924,127.0029618
