name,address
홍콩반점0410,서울특별시 관악구 남부순환로 1592-8 (2층)
홍콩반점0410,서울특별시 관악구 호암로24길 66 (2층)
홍콩반점0410,서울시 동작구 국사봉 1길 25
홍콩반점0410,서울시 동대문구 휘경로 17( 외대앞역 1번출구 직선방향 70m)
홍콩반점0410,"서울시 은평구 통일로 855-15, 2층"
홍콩반점0410,서울특별시 강남구 논현로171길 12 (방성빌딩 2층)
홍콩반점0410,서울특별시 동작구 흑석로 101-3
홍콩반점0410,"서울 동작구 동작대로27가길 38, 1층(서울 동작구 사당동 145-13번지)"
홍콩반점0410,서울특별시 성동구 마조로 25
홍콩반점0410,서울특별시 용산구 한남대로21길 20
홍콩반점0410,"서울시 강서구 화곡로 140, 1층"
홍콩반점0410,서울특별시 마포구 와우산로23길 44
홍콩반점0410,서울특별시 송파구 송파대로28길 27 (성원상떼빌 2층)
홍콩반점0410,"서울시 영등포구 영중로2길 1, 2층"
한신포차,서울특별시 강동구 진황도로 93
한신포차,서울특별시 광진구 자양로18길 25
한신포차,서울특별시 송파구 올림픽로32길 20
한신포차,서울특별시 종로구 대학로12길 13
한신포차,서울특별시 은평구 연서로29길 14-13
한신포차,"서울 서대문구 연세로7안길 10-4 1층, 지하1층"
한신포차,서울시 성동구 마조로 5길 12-1
한신포차,서울특별시 종로구 삼일대로17길 40
한신포차,서울특별시 마포구 잔다리로 13
원조쌈밥집,서울시 영등포구 영등포로36길 10
원조쌈밥집,서울특별시 양천구 목동서로 57 (현대파리지앙 2층)
원조쌈밥집,서울특별시 강동구 고덕로38길 63
역전우동0410,서울특별시 동작구 노량진로16길 35 1층
역전우동0410,서울 광진구 아차산로 224 1층
역전우동0410,"서울시 서초구 신반포로 194, 서울고속버스터미널 1층"
역전우동0410,"서울시 강남구 테헤란로4길 46, 쌍용플래티넘밸류상가 1층"
역전우동0410,"서울시 강북구 도봉로87길 13,  1층"
역전우동0410,서울특별시 성북구 동소문로20길 29-18
역전우동0410,서울특별시 서초구 방배로 104
역전우동0410,서울 동작구 사당로17길 3 1층
역전우동0410,"서울시 동대문구 회기로 186, 1층"
역전우동0410,서울특별시 영등포구 경인로 871
역전우동0410,서울특별시 강남구 압구정로 156 (카로시티2 105호)
역전우동0410,"서울시 은평구 연서로 215-1, 1층"
새마을식당,서울특별시 금천구 가산디지털1로 168 우림라이온스빌딩 A-210
새마을식당,"서울특별시 강남구 선릉로64길 19, 1층"
새마을식당,서울특별시 노원구 노해로81길 12-20
새마을식당,"서울특별시 강남구 삼성로104길 23, 1층"
새마을식당,"서울특별시 서초구 매헌로34, 2층"
새마을식당,서울특별시 중구 다산로 135
새마을식당,서울특별시 강남구 압구정로30길 17 이소니플라자 1층
새마을식당,"서울특별시 서대문구 연세로2길 6, 1층"
새마을식당,"서울특별시 동작구 동작대로27다길 10, 1층"
새마을식당,서울특별시 양천구 목동동로 260
새마을식당,서울특별시 강남구 테헤란로20길 19 엘지에클라트 109호
새마을식당,서울특별시 송파구 백제고분로 7길 45
새마을식당,서울특별시 마포구 어울마당로 144
빽다방,서울시 강북구 도봉로87길 48
빽다방,"서울시 강동구 천호대로 1089, 신동아파밀리에 B16호"
빽다방,서울시 강남구 삼성로85길 11
빽다방,서울시 강남구 테헤란로4길 46
빽다방,서울시 강남구 강남대로 396 강남역 지하 쇼핑센터 E-36
빽다방,서울시 서초구 서초대로77길 37
빽다방,서울시 금천구 벚꽃로 298 107-2호
빽다방,서울시 송파구 송파대로28길 27
빽다방,서울시 강남구 언주로159길 3
빽다방,"서울특별시 광진구 아차산로 29길 29-1, 1층"
빽다방,"서울시 광진구 아차산로 220, 노유송천빌딩 1층"
빽다방,"서울특별시 노원구 광운로 43, 로얄포토빌딩 1층"
빽다방,"서울시 관악구 관악로 155, 1층"
빽다방,서울시 마포구 새창로 151-
빽다방,"서울특별시 마포구 마포대로 109, 롯데캐슬 지하1층 104-1호"
빽다방,서울특별시 서초구 신반포로 177 반포쇼핑타운 1층 16호
빽다방,서울특별시 은평구  진관2로 15-46 메트로 프라자 1층 110호
빽다방,"서울특별시 구로구 디지털로30길 31, 코오롱빌란트2차 109호"
