,name,address,lat,lng
222,롤링파스타,서울특별시 은평구 연서로 217,error,error
223,홍콩반점0410,서울특별시 구로구 경인로47길 23,error,error
224,빽다방,서울특별시 도봉구 도봉로 479,37.6445766,127.0324381
225,빽다방,서울특별시 금천구 가산로 99,error,error
226,빽다방,서울특별시 강남구 선릉로 567,error,error
227,롤링파스타,서울특별시 강남구 도곡로 442,error,error
228,빽다방,서울특별시 송파구 문정동 618,error,error
229,빽다방,서울특별시 은평구 연서로 129,error,error
230,롤링파스타,서울특별시 노원구 마들로3길 15,error,error
231,인생설렁탕,서울특별시 동대문구 장한로2길 36,error,error
232,한신포차,서울특별시 영등포구 영중로10길 35,37.5188361,126.907861
233,빽다방,서울특별시 구로구 개봉동 203-7,37.4931629,126.851736
234,빽다방,서울특별시 마포구 월드컵로1길 14,error,error
235,빽다방,서울특별시 마포구 마포대로 179,error,error
236,빽다방,서울특별시 영등포구 양평동4가 114-1,37.53689,126.89638
237,홍콩반점0410,서울특별시 중구 다산로 128,error,error
238,빽다방,서울특별시 강동구 명일동 346-1,37.54841,127.15158
239,빽다방,서울특별시 도봉구 마들로11길 57,error,error
240,홍콩반점0410,서울특별시 강서구 금낭화로 95,37.5792236,126.813422
241,빽다방,서울특별시 강서구 양천로 583,error,error
242,롤링파스타,서울특별시 구로구 구로동 1124-72,error,error
243,빽다방,서울특별시 성동구 하왕십리동 946-16,37.56131,127.02715
244,인생설렁탕,서울특별시 종로구 관철동 13-13,error,error
245,역전우동0410,서울특별시 중랑구 용마산로115길 127,error,error
246,역전우동0410,서울특별시 마포구 백범로 129,37.5460169,126.9462944
247,빽다방,서울특별시 관악구 봉천동 1686-11,37.484665,126.9484961
248,리춘시장,서울특별시 서대문구 연세로9길 10-4,error,error
249,빽다방,서울특별시 광진구 구의동 199-8,37.54417,127.09262
250,새마을식당,서울특별시 서초구 효령로31길 28,error,error
251,롤링파스타,서울특별시 강남구 신사동 541-9,error,error
252,빽다방,서울특별시 관악구 신림동 1668-15,37.4868245,126.9282616
253,빽다방,서울특별시 구로구 오류동 148-2,37.4910095,126.8377379
254,홍콩반점0410,서울특별시 강북구 삼양로24길 19,error,error
255,홍콩반점0410,서울특별시 동대문구 답십리동 494-1,error,error
256,롤링파스타,서울특별시 마포구 서교동 344-15,error,error
257,빽다방,서울특별시 광진구 아차산로 380,error,error
258,홍콩반점0410,서울특별시 강서구 염창동 282-20,error,error
259,한신포차,서울특별시 중랑구 사가정로51길 39,error,error
260,홍콩반점0410,서울특별시 양천구 목동907-23,error,error
261,롤링파스타,서울특별시 서대문구 창전동 18-1,error,error
262,빽다방,서울특별시 송파구 백제고분로48길 6,37.5110368,127.1154926
263,리춘시장,서울특별시 종로구 혜화동 167-3　,37.58755,127.00217
264,롤링파스타,서울특별시 종로구 동숭동 1-97,error,error
265,롤링파스타,서울특별시 노원구 상계로 70,error,error
266,역전우동0410,서울특별시 강서구 마곡동 776-3,37.56619,126.8255083
267,빽다방,서울특별시 관악구 난곡로 178,37.4683168,126.9201938
268,인생설렁탕,서울특별시 동대문구 경희대로 9-1,error,error
269,한신포차,서울특별시 강서구 마곡중앙6로 93,error,error
270,롤링파스타,서울특별시 종로구 삼일대로 392,error,error
271,빽다방,서울특별시 은평구 응암로 169,37.5919435,126.9176608
272,롤링파스타,서울특별시 성북구 동선동1가 104,error,error
273,리춘시장,서울특별시 영등포구 영중로4길 3,error,error
274,빽다방,서울특별시 서초구 마방로2길 94,37.4736078,127.0403251
